index,task,first_method,second_method,param2,third_method,param3,Full_API
1,enrich accounts using one or more integration,enrich,account,na,integration,na,enrich.account.integration
2,verify the source user account associated email address.,verify,account,source.user,address,associated.email,verify.account(source.user).address(email)
3,send an email to the source user email address,send,email,na,address,source.user.email,send.email.address(source.user.email)
4,use the user response (yes or no) to direct the playbook.,use,response,user,playbook,na,use.response(user).playbook
5,verify the manager id (dn) of the source user account was returned in context.,verify,manager,id.dn,account,source.user,verify.manager(id.dn).account(source.user)
6,retrieve the ad account information for the manager of the source user account.,retrieve,information,ad.account,manager,source.user,send.information(ad.account).manager(source.user)
7,set the incident severity to low.,set,severity,incident,low,na,set.severity(incident).low
8,close the investigation.,close,investigation,na,na,na,close.investigation
9,set the incident severity to high.,set,severity,incident,high,na,set.severity(incident).high
10,assign the incident to an analyst based on the analysts organizational role.,assing,incident,na,analyst,na,set.incident.analyst
11,review the incident to determine if the account activity is malicious.,review,incident,na,na,na,verify.incident
12,quarantine the account,quarantine,account,na,na,na,quarantine.account
13,quarantine the endpoint,quarantine,endpoint,na,na,na,quarantine.endpoint
14,query the account logs in siem,query,logs,account,siem,na,query.account(logs).siem
15,query the ips logs in the siem,query,logs,ips,siem,na,query.ips(logs).siem
16,block the external ips in the firewall,block,ips,external,firewall,na,block.ips(external).firewall
17,block the external ips in the proxy,block,ips,external,proxy,na,block.ips(external).proxy
18,review the account's privileges,review,account,priviledge,na,na,verify.account(priviledge)
19,set the information retrieved from qradar into access the incident,set,information,na,qradar,na,set.information.qradar
20,review if a given value exists in the context,review,value,na,na,na,verify.object
21,return output 'no' for empty arrays,return,output,no,array,empty,send.object(no).array(empty)
22,query active directory for the email address information,query,directory,active,information,email.address,query.directory(active).address(email)
23,check email address,check,address,email,na,na,verify.address(email)
24,check username to query,check,username,na,na,na,verify.username
25,check for active directory instance,check,directory,instance,na,na,verify.directory(accounts)
26,review email address,review,address,email,na,na,verify.address(email)
27,review username to query,review,username,na,na,na,verify.username
28,review for active directory instance,review,directory,instance,na,na,verify.directory(accounts)
29,query active directory for the username's information,query,directory,active,information,na,query.directory(active).information
30,retrieves detailed information about a user account.,retrieve,information,detailed,account,user,retrieve.information(detailed).account(user)
31,queries active directory,query,directory,active,na,na,query.directory(active)
32,returns information for the specified username.,return,information,na,username,na,send.information.username
33,queries active directory for the username's information.,query,directory,active,information,username,query.directory(active).information (username)
34,add indictor to the minemeld miner.,add,indicator,na,miner,minemeld,enrich.indicator.miner(minemeld)
35,downloads file from archer to demisto's context,download,file,na,archer,na,downlaod.file.archer
36,get a specific case from esm,get,case,na,esm,na,retrieve.case.esm
37,returns all case event ids,return,id,case.event,na,na,send.id(case.event)
38,change the properties of an incident,change,property,na,incident,na,set.property.incident
39,detonate the file in mcafee atd,detonate,file,na,atd,mcafee,detonate.file.atd(mcafee)
40,initiate the operation,initiate,operation,na,na,na,set.operation
41,poll the operation,poll,operation,na,na,na,set.operation
42,check operation status,check,operation,status,na,na,verify.operation(status)
43,get the results of the operation.,get,result,na,operation,na,get.result.operation
44,upload a file sample to bitdam's service,upload,sample,file,service,bitdam,send.sample(file).service(bitdam)
45,verify that the playbook input includes at least one username to block.,verify,input,playbook,username,na,verify.input(playbook).username
46,disable the account using active directory.,disable,account,na,directory,active,disable.account.directory(active)
47, isolate the host using carbon black response,isolate,host,na,response,carbonblack,quarantine.host.response(cardbonblack)
48,adds the md5 hash to the blacklist in carbon black,add,hash,md5,blacklist,carbonblack,enrich.hash(md5).blacklist(carbonblack)
49,blocks malicious usernames using all integrations that you have enabled.,block,username,malicious,integration,na,block.username(malicious).integration
50,block the ips using check point firewall.,block,ips,na,firewall,checkpoint,block.ips.firewall(checkpoint)
51,verify that the playbook input includes at least one ip to block.,verify,input,playbook,ip,na,verify.input(playbook).ip
52,block the ips using palo alto networks panorama.,block,ips,na,panorama,paloAlto.network,block.ips.panorama(paloalto.network)
53,block the ips using zscaler.,block,ips,na,zscaler,na,block.ips.zscaler
54,verify that the playbook input includes at least one url to block.,verify,input,playbook,url,na,verify.input(playbook).url
55,block the urls using zscaler.,block,url,na,zscaler,na,block.url.zscaler
56,set incident's severity to high,set,severity,incident,high,na,set.severity(incident).high
57,"assign the incident severity level  to ""low"".",assign,severity,incident,low,na,set.severity(incident).low
58,"assign the incident severity level  to ""medium"".",assign,severity,incident,medium,na,set.severity.(incident).medium
