,0,1,2
0, isolate the host using carbon black response,account,0
1, isolate the host using carbon black response,address,0
2, isolate the host using carbon black response,analysis,0
3, isolate the host using carbon black response,analyst,0
4, isolate the host using carbon black response,anyrun,0
5, isolate the host using carbon black response,archer,0
6, isolate the host using carbon black response,array,0
7, isolate the host using carbon black response,atd,0
8, isolate the host using carbon black response,ax,0
9, isolate the host using carbon black response,blacklist,0
10, isolate the host using carbon black response,channel,0
11, isolate the host using carbon black response,context,0
12, isolate the host using carbon black response,critical,0
13, isolate the host using carbon black response,crowdstrike,0
14, isolate the host using carbon black response,cuckoo,0
15, isolate the host using carbon black response,cve,0
16, isolate the host using carbon black response,directory,0
17, isolate the host using carbon black response,endpoint,0
18, isolate the host using carbon black response,esm,0
19, isolate the host using carbon black response,file,0
20, isolate the host using carbon black response,firewall,0
21, isolate the host using carbon black response,high,0
22, isolate the host using carbon black response,host,0
23, isolate the host using carbon black response,incident,0
24, isolate the host using carbon black response,information,0
25, isolate the host using carbon black response,integration,0
26, isolate the host using carbon black response,ip,0
27, isolate the host using carbon black response,low,0
28, isolate the host using carbon black response,manager,0
29, isolate the host using carbon black response,medium,0
30, isolate the host using carbon black response,miner,0
31, isolate the host using carbon black response,na,0
32, isolate the host using carbon black response,nexpose,0
33, isolate the host using carbon black response,operation,0
34, isolate the host using carbon black response,panorama,0
35, isolate the host using carbon black response,playbook,0
36, isolate the host using carbon black response,proxy,0
37, isolate the host using carbon black response,qradar,0
38, isolate the host using carbon black response,qualys,0
39, isolate the host using carbon black response,response,1
40, isolate the host using carbon black response,room,0
41, isolate the host using carbon black response,sandbox,0
42, isolate the host using carbon black response,search,0
43, isolate the host using carbon black response,sentinelone,0
44, isolate the host using carbon black response,service,0
45, isolate the host using carbon black response,siem,0
46, isolate the host using carbon black response,splunk,0
47, isolate the host using carbon black response,system,0
48, isolate the host using carbon black response,task,0
49, isolate the host using carbon black response,technique,0
50, isolate the host using carbon black response,trendmicro,0
51, isolate the host using carbon black response,twilio,0
52, isolate the host using carbon black response,url,0
53, isolate the host using carbon black response,username,0
54, isolate the host using carbon black response,vectra,0
55, isolate the host using carbon black response,xfe,0
56, isolate the host using carbon black response,zscaler,0
57,add indictor to the minemeld miner.,account,0
58,add indictor to the minemeld miner.,address,0
59,add indictor to the minemeld miner.,analysis,0
60,add indictor to the minemeld miner.,analyst,0
61,add indictor to the minemeld miner.,anyrun,0
62,add indictor to the minemeld miner.,archer,0
63,add indictor to the minemeld miner.,array,0
64,add indictor to the minemeld miner.,atd,0
65,add indictor to the minemeld miner.,ax,0
66,add indictor to the minemeld miner.,blacklist,0
67,add indictor to the minemeld miner.,channel,0
68,add indictor to the minemeld miner.,context,0
69,add indictor to the minemeld miner.,critical,0
70,add indictor to the minemeld miner.,crowdstrike,0
71,add indictor to the minemeld miner.,cuckoo,0
72,add indictor to the minemeld miner.,cve,0
73,add indictor to the minemeld miner.,directory,0
74,add indictor to the minemeld miner.,endpoint,0
75,add indictor to the minemeld miner.,esm,0
76,add indictor to the minemeld miner.,file,0
77,add indictor to the minemeld miner.,firewall,0
78,add indictor to the minemeld miner.,high,0
79,add indictor to the minemeld miner.,host,0
80,add indictor to the minemeld miner.,incident,0
81,add indictor to the minemeld miner.,information,0
82,add indictor to the minemeld miner.,integration,0
83,add indictor to the minemeld miner.,ip,0
84,add indictor to the minemeld miner.,low,0
85,add indictor to the minemeld miner.,manager,0
86,add indictor to the minemeld miner.,medium,0
87,add indictor to the minemeld miner.,miner,1
88,add indictor to the minemeld miner.,na,0
89,add indictor to the minemeld miner.,nexpose,0
90,add indictor to the minemeld miner.,operation,0
91,add indictor to the minemeld miner.,panorama,0
92,add indictor to the minemeld miner.,playbook,0
93,add indictor to the minemeld miner.,proxy,0
94,add indictor to the minemeld miner.,qradar,0
95,add indictor to the minemeld miner.,qualys,0
96,add indictor to the minemeld miner.,response,0
97,add indictor to the minemeld miner.,room,0
98,add indictor to the minemeld miner.,sandbox,0
99,add indictor to the minemeld miner.,search,0
100,add indictor to the minemeld miner.,sentinelone,0
101,add indictor to the minemeld miner.,service,0
102,add indictor to the minemeld miner.,siem,0
103,add indictor to the minemeld miner.,splunk,0
104,add indictor to the minemeld miner.,system,0
105,add indictor to the minemeld miner.,task,0
106,add indictor to the minemeld miner.,technique,0
107,add indictor to the minemeld miner.,trendmicro,0
108,add indictor to the minemeld miner.,twilio,0
109,add indictor to the minemeld miner.,url,0
110,add indictor to the minemeld miner.,username,0
111,add indictor to the minemeld miner.,vectra,0
112,add indictor to the minemeld miner.,xfe,0
113,add indictor to the minemeld miner.,zscaler,0
114,add the relevant endpoint to the system,account,0
115,add the relevant endpoint to the system,address,0
116,add the relevant endpoint to the system,analysis,0
117,add the relevant endpoint to the system,analyst,0
118,add the relevant endpoint to the system,anyrun,0
119,add the relevant endpoint to the system,archer,0
120,add the relevant endpoint to the system,array,0
121,add the relevant endpoint to the system,atd,0
122,add the relevant endpoint to the system,ax,0
123,add the relevant endpoint to the system,blacklist,0
124,add the relevant endpoint to the system,channel,0
125,add the relevant endpoint to the system,context,0
126,add the relevant endpoint to the system,critical,0
127,add the relevant endpoint to the system,crowdstrike,0
128,add the relevant endpoint to the system,cuckoo,0
129,add the relevant endpoint to the system,cve,0
130,add the relevant endpoint to the system,directory,0
131,add the relevant endpoint to the system,endpoint,0
132,add the relevant endpoint to the system,esm,0
133,add the relevant endpoint to the system,file,0
134,add the relevant endpoint to the system,firewall,0
135,add the relevant endpoint to the system,high,0
136,add the relevant endpoint to the system,host,0
137,add the relevant endpoint to the system,incident,0
138,add the relevant endpoint to the system,information,0
139,add the relevant endpoint to the system,integration,0
140,add the relevant endpoint to the system,ip,0
141,add the relevant endpoint to the system,low,0
142,add the relevant endpoint to the system,manager,0
143,add the relevant endpoint to the system,medium,0
144,add the relevant endpoint to the system,miner,0
145,add the relevant endpoint to the system,na,0
146,add the relevant endpoint to the system,nexpose,0
147,add the relevant endpoint to the system,operation,0
148,add the relevant endpoint to the system,panorama,0
149,add the relevant endpoint to the system,playbook,0
150,add the relevant endpoint to the system,proxy,0
151,add the relevant endpoint to the system,qradar,0
152,add the relevant endpoint to the system,qualys,0
153,add the relevant endpoint to the system,response,0
154,add the relevant endpoint to the system,room,0
155,add the relevant endpoint to the system,sandbox,0
156,add the relevant endpoint to the system,search,0
157,add the relevant endpoint to the system,sentinelone,0
158,add the relevant endpoint to the system,service,0
159,add the relevant endpoint to the system,siem,0
160,add the relevant endpoint to the system,splunk,0
161,add the relevant endpoint to the system,system,1
162,add the relevant endpoint to the system,task,0
163,add the relevant endpoint to the system,technique,0
164,add the relevant endpoint to the system,trendmicro,0
165,add the relevant endpoint to the system,twilio,0
166,add the relevant endpoint to the system,url,0
167,add the relevant endpoint to the system,username,0
168,add the relevant endpoint to the system,vectra,0
169,add the relevant endpoint to the system,xfe,0
170,add the relevant endpoint to the system,zscaler,0
171,adds the md5 hash to the blacklist in carbon black,account,0
172,adds the md5 hash to the blacklist in carbon black,address,0
173,adds the md5 hash to the blacklist in carbon black,analysis,0
174,adds the md5 hash to the blacklist in carbon black,analyst,0
175,adds the md5 hash to the blacklist in carbon black,anyrun,0
176,adds the md5 hash to the blacklist in carbon black,archer,0
177,adds the md5 hash to the blacklist in carbon black,array,0
178,adds the md5 hash to the blacklist in carbon black,atd,0
179,adds the md5 hash to the blacklist in carbon black,ax,0
180,adds the md5 hash to the blacklist in carbon black,blacklist,1
181,adds the md5 hash to the blacklist in carbon black,channel,0
182,adds the md5 hash to the blacklist in carbon black,context,0
183,adds the md5 hash to the blacklist in carbon black,critical,0
184,adds the md5 hash to the blacklist in carbon black,crowdstrike,0
185,adds the md5 hash to the blacklist in carbon black,cuckoo,0
186,adds the md5 hash to the blacklist in carbon black,cve,0
187,adds the md5 hash to the blacklist in carbon black,directory,0
188,adds the md5 hash to the blacklist in carbon black,endpoint,0
189,adds the md5 hash to the blacklist in carbon black,esm,0
190,adds the md5 hash to the blacklist in carbon black,file,0
191,adds the md5 hash to the blacklist in carbon black,firewall,0
192,adds the md5 hash to the blacklist in carbon black,high,0
193,adds the md5 hash to the blacklist in carbon black,host,0
194,adds the md5 hash to the blacklist in carbon black,incident,0
195,adds the md5 hash to the blacklist in carbon black,information,0
196,adds the md5 hash to the blacklist in carbon black,integration,0
197,adds the md5 hash to the blacklist in carbon black,ip,0
198,adds the md5 hash to the blacklist in carbon black,low,0
199,adds the md5 hash to the blacklist in carbon black,manager,0
200,adds the md5 hash to the blacklist in carbon black,medium,0
201,adds the md5 hash to the blacklist in carbon black,miner,0
202,adds the md5 hash to the blacklist in carbon black,na,0
203,adds the md5 hash to the blacklist in carbon black,nexpose,0
204,adds the md5 hash to the blacklist in carbon black,operation,0
205,adds the md5 hash to the blacklist in carbon black,panorama,0
206,adds the md5 hash to the blacklist in carbon black,playbook,0
207,adds the md5 hash to the blacklist in carbon black,proxy,0
208,adds the md5 hash to the blacklist in carbon black,qradar,0
209,adds the md5 hash to the blacklist in carbon black,qualys,0
210,adds the md5 hash to the blacklist in carbon black,response,0
211,adds the md5 hash to the blacklist in carbon black,room,0
212,adds the md5 hash to the blacklist in carbon black,sandbox,0
213,adds the md5 hash to the blacklist in carbon black,search,0
214,adds the md5 hash to the blacklist in carbon black,sentinelone,0
215,adds the md5 hash to the blacklist in carbon black,service,0
216,adds the md5 hash to the blacklist in carbon black,siem,0
217,adds the md5 hash to the blacklist in carbon black,splunk,0
218,adds the md5 hash to the blacklist in carbon black,system,0
219,adds the md5 hash to the blacklist in carbon black,task,0
220,adds the md5 hash to the blacklist in carbon black,technique,0
221,adds the md5 hash to the blacklist in carbon black,trendmicro,0
222,adds the md5 hash to the blacklist in carbon black,twilio,0
223,adds the md5 hash to the blacklist in carbon black,url,0
224,adds the md5 hash to the blacklist in carbon black,username,0
225,adds the md5 hash to the blacklist in carbon black,vectra,0
226,adds the md5 hash to the blacklist in carbon black,xfe,0
227,adds the md5 hash to the blacklist in carbon black,zscaler,0
228,"assign the incident severity level  to ""critical"".",account,0
229,"assign the incident severity level  to ""critical"".",address,0
230,"assign the incident severity level  to ""critical"".",analysis,0
231,"assign the incident severity level  to ""critical"".",analyst,0
232,"assign the incident severity level  to ""critical"".",anyrun,0
233,"assign the incident severity level  to ""critical"".",archer,0
234,"assign the incident severity level  to ""critical"".",array,0
235,"assign the incident severity level  to ""critical"".",atd,0
236,"assign the incident severity level  to ""critical"".",ax,0
237,"assign the incident severity level  to ""critical"".",blacklist,0
238,"assign the incident severity level  to ""critical"".",channel,0
239,"assign the incident severity level  to ""critical"".",context,0
240,"assign the incident severity level  to ""critical"".",critical,1
241,"assign the incident severity level  to ""critical"".",crowdstrike,0
242,"assign the incident severity level  to ""critical"".",cuckoo,0
243,"assign the incident severity level  to ""critical"".",cve,0
244,"assign the incident severity level  to ""critical"".",directory,0
245,"assign the incident severity level  to ""critical"".",endpoint,0
246,"assign the incident severity level  to ""critical"".",esm,0
247,"assign the incident severity level  to ""critical"".",file,0
248,"assign the incident severity level  to ""critical"".",firewall,0
249,"assign the incident severity level  to ""critical"".",high,0
250,"assign the incident severity level  to ""critical"".",host,0
251,"assign the incident severity level  to ""critical"".",incident,0
252,"assign the incident severity level  to ""critical"".",information,0
253,"assign the incident severity level  to ""critical"".",integration,0
254,"assign the incident severity level  to ""critical"".",ip,0
255,"assign the incident severity level  to ""critical"".",low,0
256,"assign the incident severity level  to ""critical"".",manager,0
257,"assign the incident severity level  to ""critical"".",medium,0
258,"assign the incident severity level  to ""critical"".",miner,0
259,"assign the incident severity level  to ""critical"".",na,0
260,"assign the incident severity level  to ""critical"".",nexpose,0
261,"assign the incident severity level  to ""critical"".",operation,0
262,"assign the incident severity level  to ""critical"".",panorama,0
263,"assign the incident severity level  to ""critical"".",playbook,0
264,"assign the incident severity level  to ""critical"".",proxy,0
265,"assign the incident severity level  to ""critical"".",qradar,0
266,"assign the incident severity level  to ""critical"".",qualys,0
267,"assign the incident severity level  to ""critical"".",response,0
268,"assign the incident severity level  to ""critical"".",room,0
269,"assign the incident severity level  to ""critical"".",sandbox,0
270,"assign the incident severity level  to ""critical"".",search,0
271,"assign the incident severity level  to ""critical"".",sentinelone,0
272,"assign the incident severity level  to ""critical"".",service,0
273,"assign the incident severity level  to ""critical"".",siem,0
274,"assign the incident severity level  to ""critical"".",splunk,0
275,"assign the incident severity level  to ""critical"".",system,0
276,"assign the incident severity level  to ""critical"".",task,0
277,"assign the incident severity level  to ""critical"".",technique,0
278,"assign the incident severity level  to ""critical"".",trendmicro,0
279,"assign the incident severity level  to ""critical"".",twilio,0
280,"assign the incident severity level  to ""critical"".",url,0
281,"assign the incident severity level  to ""critical"".",username,0
282,"assign the incident severity level  to ""critical"".",vectra,0
283,"assign the incident severity level  to ""critical"".",xfe,0
284,"assign the incident severity level  to ""critical"".",zscaler,0
285,"assign the incident severity level  to ""high"".",account,0
286,"assign the incident severity level  to ""high"".",address,0
287,"assign the incident severity level  to ""high"".",analysis,0
288,"assign the incident severity level  to ""high"".",analyst,0
289,"assign the incident severity level  to ""high"".",anyrun,0
290,"assign the incident severity level  to ""high"".",archer,0
291,"assign the incident severity level  to ""high"".",array,0
292,"assign the incident severity level  to ""high"".",atd,0
293,"assign the incident severity level  to ""high"".",ax,0
294,"assign the incident severity level  to ""high"".",blacklist,0
295,"assign the incident severity level  to ""high"".",channel,0
296,"assign the incident severity level  to ""high"".",context,0
297,"assign the incident severity level  to ""high"".",critical,0
298,"assign the incident severity level  to ""high"".",crowdstrike,0
299,"assign the incident severity level  to ""high"".",cuckoo,0
300,"assign the incident severity level  to ""high"".",cve,0
301,"assign the incident severity level  to ""high"".",directory,0
302,"assign the incident severity level  to ""high"".",endpoint,0
303,"assign the incident severity level  to ""high"".",esm,0
304,"assign the incident severity level  to ""high"".",file,0
305,"assign the incident severity level  to ""high"".",firewall,0
306,"assign the incident severity level  to ""high"".",high,1
307,"assign the incident severity level  to ""high"".",host,0
308,"assign the incident severity level  to ""high"".",incident,0
309,"assign the incident severity level  to ""high"".",information,0
310,"assign the incident severity level  to ""high"".",integration,0
311,"assign the incident severity level  to ""high"".",ip,0
312,"assign the incident severity level  to ""high"".",low,0
313,"assign the incident severity level  to ""high"".",manager,0
314,"assign the incident severity level  to ""high"".",medium,0
315,"assign the incident severity level  to ""high"".",miner,0
316,"assign the incident severity level  to ""high"".",na,0
317,"assign the incident severity level  to ""high"".",nexpose,0
318,"assign the incident severity level  to ""high"".",operation,0
319,"assign the incident severity level  to ""high"".",panorama,0
320,"assign the incident severity level  to ""high"".",playbook,0
321,"assign the incident severity level  to ""high"".",proxy,0
322,"assign the incident severity level  to ""high"".",qradar,0
323,"assign the incident severity level  to ""high"".",qualys,0
324,"assign the incident severity level  to ""high"".",response,0
325,"assign the incident severity level  to ""high"".",room,0
326,"assign the incident severity level  to ""high"".",sandbox,0
327,"assign the incident severity level  to ""high"".",search,0
328,"assign the incident severity level  to ""high"".",sentinelone,0
329,"assign the incident severity level  to ""high"".",service,0
330,"assign the incident severity level  to ""high"".",siem,0
331,"assign the incident severity level  to ""high"".",splunk,0
332,"assign the incident severity level  to ""high"".",system,0
333,"assign the incident severity level  to ""high"".",task,0
334,"assign the incident severity level  to ""high"".",technique,0
335,"assign the incident severity level  to ""high"".",trendmicro,0
336,"assign the incident severity level  to ""high"".",twilio,0
337,"assign the incident severity level  to ""high"".",url,0
338,"assign the incident severity level  to ""high"".",username,0
339,"assign the incident severity level  to ""high"".",vectra,0
340,"assign the incident severity level  to ""high"".",xfe,0
341,"assign the incident severity level  to ""high"".",zscaler,0
342,"assign the incident severity level  to ""low"".",account,0
343,"assign the incident severity level  to ""low"".",address,0
344,"assign the incident severity level  to ""low"".",analysis,0
345,"assign the incident severity level  to ""low"".",analyst,0
346,"assign the incident severity level  to ""low"".",anyrun,0
347,"assign the incident severity level  to ""low"".",archer,0
348,"assign the incident severity level  to ""low"".",array,0
349,"assign the incident severity level  to ""low"".",atd,0
350,"assign the incident severity level  to ""low"".",ax,0
351,"assign the incident severity level  to ""low"".",blacklist,0
352,"assign the incident severity level  to ""low"".",channel,0
353,"assign the incident severity level  to ""low"".",context,0
354,"assign the incident severity level  to ""low"".",critical,0
355,"assign the incident severity level  to ""low"".",crowdstrike,0
356,"assign the incident severity level  to ""low"".",cuckoo,0
357,"assign the incident severity level  to ""low"".",cve,0
358,"assign the incident severity level  to ""low"".",directory,0
359,"assign the incident severity level  to ""low"".",endpoint,0
360,"assign the incident severity level  to ""low"".",esm,0
361,"assign the incident severity level  to ""low"".",file,0
362,"assign the incident severity level  to ""low"".",firewall,0
363,"assign the incident severity level  to ""low"".",high,0
364,"assign the incident severity level  to ""low"".",host,0
365,"assign the incident severity level  to ""low"".",incident,0
366,"assign the incident severity level  to ""low"".",information,0
367,"assign the incident severity level  to ""low"".",integration,0
