,0,1,2
0, isolate the host using carbon black response,assing,0
1, isolate the host using carbon black response,block,0
2, isolate the host using carbon black response,categorise,0
3, isolate the host using carbon black response,close,0
4, isolate the host using carbon black response,create,0
5, isolate the host using carbon black response,detonate,0
6, isolate the host using carbon black response,disable,0
7, isolate the host using carbon black response,download,0
8, isolate the host using carbon black response,enrich,0
9, isolate the host using carbon black response,parse,0
10, isolate the host using carbon black response,print,0
11, isolate the host using carbon black response,quarantine,1
12, isolate the host using carbon black response,query,0
13, isolate the host using carbon black response,retrieve,0
14, isolate the host using carbon black response,send,0
15, isolate the host using carbon black response,set,0
16, isolate the host using carbon black response,use,0
17, isolate the host using carbon black response,verify,0
18,add indictor to the minemeld miner.,assing,0
19,add indictor to the minemeld miner.,block,0
20,add indictor to the minemeld miner.,categorise,0
21,add indictor to the minemeld miner.,close,0
22,add indictor to the minemeld miner.,create,0
23,add indictor to the minemeld miner.,detonate,0
24,add indictor to the minemeld miner.,disable,0
25,add indictor to the minemeld miner.,download,0
26,add indictor to the minemeld miner.,enrich,1
27,add indictor to the minemeld miner.,parse,0
28,add indictor to the minemeld miner.,print,0
29,add indictor to the minemeld miner.,quarantine,0
30,add indictor to the minemeld miner.,query,0
31,add indictor to the minemeld miner.,retrieve,0
32,add indictor to the minemeld miner.,send,0
33,add indictor to the minemeld miner.,set,0
34,add indictor to the minemeld miner.,use,0
35,add indictor to the minemeld miner.,verify,0
36,add the relevant endpoint to the system,assing,0
37,add the relevant endpoint to the system,block,0
38,add the relevant endpoint to the system,categorise,0
39,add the relevant endpoint to the system,close,0
40,add the relevant endpoint to the system,create,0
41,add the relevant endpoint to the system,detonate,0
42,add the relevant endpoint to the system,disable,0
43,add the relevant endpoint to the system,download,0
44,add the relevant endpoint to the system,enrich,1
45,add the relevant endpoint to the system,parse,0
46,add the relevant endpoint to the system,print,0
47,add the relevant endpoint to the system,quarantine,0
48,add the relevant endpoint to the system,query,0
49,add the relevant endpoint to the system,retrieve,0
50,add the relevant endpoint to the system,send,0
51,add the relevant endpoint to the system,set,0
52,add the relevant endpoint to the system,use,0
53,add the relevant endpoint to the system,verify,0
54,adds the md5 hash to the blacklist in carbon black,assing,0
55,adds the md5 hash to the blacklist in carbon black,block,0
56,adds the md5 hash to the blacklist in carbon black,categorise,0
57,adds the md5 hash to the blacklist in carbon black,close,0
58,adds the md5 hash to the blacklist in carbon black,create,0
59,adds the md5 hash to the blacklist in carbon black,detonate,0
60,adds the md5 hash to the blacklist in carbon black,disable,0
61,adds the md5 hash to the blacklist in carbon black,download,0
62,adds the md5 hash to the blacklist in carbon black,enrich,1
63,adds the md5 hash to the blacklist in carbon black,parse,0
64,adds the md5 hash to the blacklist in carbon black,print,0
65,adds the md5 hash to the blacklist in carbon black,quarantine,0
66,adds the md5 hash to the blacklist in carbon black,query,0
67,adds the md5 hash to the blacklist in carbon black,retrieve,0
68,adds the md5 hash to the blacklist in carbon black,send,0
69,adds the md5 hash to the blacklist in carbon black,set,0
70,adds the md5 hash to the blacklist in carbon black,use,0
71,adds the md5 hash to the blacklist in carbon black,verify,0
72,"assign the incident severity level  to ""critical"".",assing,0
73,"assign the incident severity level  to ""critical"".",block,0
74,"assign the incident severity level  to ""critical"".",categorise,0
75,"assign the incident severity level  to ""critical"".",close,0
76,"assign the incident severity level  to ""critical"".",create,0
77,"assign the incident severity level  to ""critical"".",detonate,0
78,"assign the incident severity level  to ""critical"".",disable,0
79,"assign the incident severity level  to ""critical"".",download,0
80,"assign the incident severity level  to ""critical"".",enrich,0
81,"assign the incident severity level  to ""critical"".",parse,0
82,"assign the incident severity level  to ""critical"".",print,0
83,"assign the incident severity level  to ""critical"".",quarantine,0
84,"assign the incident severity level  to ""critical"".",query,0
85,"assign the incident severity level  to ""critical"".",retrieve,0
86,"assign the incident severity level  to ""critical"".",send,0
87,"assign the incident severity level  to ""critical"".",set,1
88,"assign the incident severity level  to ""critical"".",use,0
89,"assign the incident severity level  to ""critical"".",verify,0
90,"assign the incident severity level  to ""high"".",assing,0
91,"assign the incident severity level  to ""high"".",block,0
92,"assign the incident severity level  to ""high"".",categorise,0
93,"assign the incident severity level  to ""high"".",close,0
94,"assign the incident severity level  to ""high"".",create,0
95,"assign the incident severity level  to ""high"".",detonate,0
96,"assign the incident severity level  to ""high"".",disable,0
97,"assign the incident severity level  to ""high"".",download,0
