,0,1,2
0, isolate the host using carbon black response,accounts,0
1, isolate the host using carbon black response,active,0
2, isolate the host using carbon black response,ad.account,0
3, isolate the host using carbon black response,case.event,0
4, isolate the host using carbon black response,crowdstrike,0
5, isolate the host using carbon black response,cve,0
6, isolate the host using carbon black response,email,0
7, isolate the host using carbon black response,external,0
8, isolate the host using carbon black response,file,0
9, isolate the host using carbon black response,generic.polling,0
10, isolate the host using carbon black response,hardware,0
11, isolate the host using carbon black response,host,0
12, isolate the host using carbon black response,id.dn,0
13, isolate the host using carbon black response,incident,0
14, isolate the host using carbon black response,logs,0
15, isolate the host using carbon black response,malicious,0
16, isolate the host using carbon black response,md5,0
17, isolate the host using carbon black response,na,1
18, isolate the host using carbon black response,no,0
19, isolate the host using carbon black response,pdf,0
20, isolate the host using carbon black response,phishe,0
21, isolate the host using carbon black response,playbook,0
22, isolate the host using carbon black response,priviledge,0
23, isolate the host using carbon black response,qualys,0
24, isolate the host using carbon black response,relevant,0
25, isolate the host using carbon black response,sms,0
26, isolate the host using carbon black response,source.user,0
27, isolate the host using carbon black response,status,0
28, isolate the host using carbon black response,user,0
29, isolate the host using carbon black response,user.account,0
30,add indictor to the minemeld miner.,accounts,0
31,add indictor to the minemeld miner.,active,0
32,add indictor to the minemeld miner.,ad.account,0
33,add indictor to the minemeld miner.,case.event,0
34,add indictor to the minemeld miner.,crowdstrike,0
35,add indictor to the minemeld miner.,cve,0
36,add indictor to the minemeld miner.,email,0
37,add indictor to the minemeld miner.,external,0
38,add indictor to the minemeld miner.,file,0
39,add indictor to the minemeld miner.,generic.polling,0
40,add indictor to the minemeld miner.,hardware,0
41,add indictor to the minemeld miner.,host,0
42,add indictor to the minemeld miner.,id.dn,0
43,add indictor to the minemeld miner.,incident,0
44,add indictor to the minemeld miner.,logs,0
45,add indictor to the minemeld miner.,malicious,0
46,add indictor to the minemeld miner.,md5,0
47,add indictor to the minemeld miner.,na,1
48,add indictor to the minemeld miner.,no,0
49,add indictor to the minemeld miner.,pdf,0
50,add indictor to the minemeld miner.,phishe,0
51,add indictor to the minemeld miner.,playbook,0
52,add indictor to the minemeld miner.,priviledge,0
53,add indictor to the minemeld miner.,qualys,0
54,add indictor to the minemeld miner.,relevant,0
55,add indictor to the minemeld miner.,sms,0
56,add indictor to the minemeld miner.,source.user,0
57,add indictor to the minemeld miner.,status,0
58,add indictor to the minemeld miner.,user,0
59,add indictor to the minemeld miner.,user.account,0
60,add the relevant endpoint to the system,accounts,0
61,add the relevant endpoint to the system,active,0
62,add the relevant endpoint to the system,ad.account,0
63,add the relevant endpoint to the system,case.event,0
64,add the relevant endpoint to the system,crowdstrike,0
65,add the relevant endpoint to the system,cve,0
66,add the relevant endpoint to the system,email,0
67,add the relevant endpoint to the system,external,0
68,add the relevant endpoint to the system,file,0
69,add the relevant endpoint to the system,generic.polling,0
70,add the relevant endpoint to the system,hardware,0
71,add the relevant endpoint to the system,host,0
72,add the relevant endpoint to the system,id.dn,0
73,add the relevant endpoint to the system,incident,0
74,add the relevant endpoint to the system,logs,0
75,add the relevant endpoint to the system,malicious,0
76,add the relevant endpoint to the system,md5,0
77,add the relevant endpoint to the system,na,0
78,add the relevant endpoint to the system,no,0
79,add the relevant endpoint to the system,pdf,0
80,add the relevant endpoint to the system,phishe,0
81,add the relevant endpoint to the system,playbook,0
82,add the relevant endpoint to the system,priviledge,0
83,add the relevant endpoint to the system,qualys,0
84,add the relevant endpoint to the system,relevant,1
85,add the relevant endpoint to the system,sms,0
86,add the relevant endpoint to the system,source.user,0
87,add the relevant endpoint to the system,status,0
88,add the relevant endpoint to the system,user,0
89,add the relevant endpoint to the system,user.account,0
90,adds the md5 hash to the blacklist in carbon black,accounts,0
91,adds the md5 hash to the blacklist in carbon black,active,0
92,adds the md5 hash to the blacklist in carbon black,ad.account,0
93,adds the md5 hash to the blacklist in carbon black,case.event,0
94,adds the md5 hash to the blacklist in carbon black,crowdstrike,0
95,adds the md5 hash to the blacklist in carbon black,cve,0
96,adds the md5 hash to the blacklist in carbon black,email,0
97,adds the md5 hash to the blacklist in carbon black,external,0
98,adds the md5 hash to the blacklist in carbon black,file,0
99,adds the md5 hash to the blacklist in carbon black,generic.polling,0
100,adds the md5 hash to the blacklist in carbon black,hardware,0
101,adds the md5 hash to the blacklist in carbon black,host,0
102,adds the md5 hash to the blacklist in carbon black,id.dn,0
103,adds the md5 hash to the blacklist in carbon black,incident,0
104,adds the md5 hash to the blacklist in carbon black,logs,0
105,adds the md5 hash to the blacklist in carbon black,malicious,0
106,adds the md5 hash to the blacklist in carbon black,md5,1
107,adds the md5 hash to the blacklist in carbon black,na,0
108,adds the md5 hash to the blacklist in carbon black,no,0
109,adds the md5 hash to the blacklist in carbon black,pdf,0
110,adds the md5 hash to the blacklist in carbon black,phishe,0
111,adds the md5 hash to the blacklist in carbon black,playbook,0
112,adds the md5 hash to the blacklist in carbon black,priviledge,0
113,adds the md5 hash to the blacklist in carbon black,qualys,0
114,adds the md5 hash to the blacklist in carbon black,relevant,0
115,adds the md5 hash to the blacklist in carbon black,sms,0
116,adds the md5 hash to the blacklist in carbon black,source.user,0
117,adds the md5 hash to the blacklist in carbon black,status,0
118,adds the md5 hash to the blacklist in carbon black,user,0
