,id,taskid,type,name,description,scriptName ,tags,condition,scriptarguments,nexttasks,conditions
0,0,9191bc70-1a40-4150-83d9-66731d89243f,start,,,,,,,,
0,3,c4b25dd8-ef84-429f-8edc-a162b3dbf000,playbook,Account Enrichment - Generic,Enrich Accounts using one or more integrations,,,,,,
0,4,e0ffa563-92e4-428b-81ed-c0fe3eeeb2f7,title,Interact with the user,,,,,,,
0,5,343205d4-9062-4954-8d57-ac3ab134d5f6,title,Enrich indicators,,,,,,,
0,8,faf6fad5-f040-47b2-8802-73c06b1ef6d2,title,Enrich source IP,,,,,,,
0,9,f4690b1b-98cd-4309-82be-53e760d502ee,title,Enrich destination IP,,,,,,,
0,10,f68c6b42-4b24-426c-81e0-417984626f2a,title,Enrich source user,,,,,,,
0,11,7b6dfef6-28ec-4daf-8b44-e0d813674886,condition,Does the source user account have an email address?,Verify that the source user account has an associated email address.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'filters': [[{'operator': 'string.isEqual', 'left': {'value': {'simple': 'Account.Username'}, 'iscontext': True}, 'right': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}, 'ignorecase': True}]], 'accessor': 'Email.Address', 'transformers': [{'operator': 'general.uniq'}]}}, 'iscontext': True}}]]}"
0,12,7a5f3223-0418-418a-8872-ca221ab74c5a,title,Done,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'filters': [[{'operator': 'string.isEqual', 'left': {'value': {'simple': 'Account.Username'}, 'iscontext': True}, 'right': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}, 'ignorecase': True}]], 'accessor': 'Email.Address', 'transformers': [{'operator': 'general.uniq'}]}}, 'iscontext': True}}]]}"
0,13,0e9d5518-3755-4d4b-8254-631b021ad18a,regular,Request user to confirm account activity,Send an email to the source user email address to confirm whether they recognize the suspicious activity.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'filters': [[{'operator': 'string.isEqual', 'left': {'value': {'simple': 'Account.Username'}, 'iscontext': True}, 'right': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}, 'ignorecase': True}]], 'accessor': 'Email.Address', 'transformers': [{'operator': 'general.uniq'}]}}, 'iscontext': True}}]]}"
0,14,cf2e6c57-c2cb-41cb-822d-eb13f2658fee,condition,Get user response,Use the user response (yes or no) to direct the playbook.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'filters': [[{'operator': 'string.isEqual', 'left': {'value': {'simple': 'Account.Username'}, 'iscontext': True}, 'right': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}, 'ignorecase': True}]], 'accessor': 'Email.Address', 'transformers': [{'operator': 'general.uniq'}]}}, 'iscontext': True}}]]}"
0,17,10c28bdf-caae-47d7-8c1b-c5a7198b2349,condition,Was the manager's ID returned?,Verify that the manager ID (DN) of the source user account was returned in context.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,19,6ba49d12-a2e7-40bb-85d2-2a7849adc774,regular,Get manager's info,Retrieve the AD account information for the manager of the source user account.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,20,160c3d44-9b6f-4207-8df9-69f7c6ac3eb7,playbook,IP Enrichment - Generic,,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,21,74b00019-68dc-4e52-8b6e-8eb97721b8cb,playbook,IP Enrichment - Generic,,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,22,e0dc594d-6a63-47e7-85d1-cadb733f3544,title,User confirmed account activity,,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,23,d78f9aeb-aaab-47c1-8359-4518d529c00a,title,User denied account activity,,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,24,7201e19f-4202-41ec-8b24-246679d7621f,regular,Set severity to low,Set the incident severity to low.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,25,eb5afea3-4cbc-4ec6-82f5-d9b80ac4ed1b,regular,Close Investigation,Close the investigation.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,26,38e9a862-18da-401c-88e7-9ed6e2b0e9a4,regular,Set severity to high,Set the incident severity to high.,,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,27,b914ceed-2615-4c1b-8d64-74b2a8da5cd0,regular,Assign to analyst,"Assign the incident to an analyst based on the analyst’s organizational role.
",,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,28,8ae1ca42-1f1d-4ae7-883e-814705b8aae2,regular,Manually remediate  the incident,"Review the incident to determine if the account activity is malicious.

If malicious, consider the following:
* Quarantine the account/ endpoint 
* Revoke the account password
* Query the account/ IPs logs in the SIEM
* Block the external IPs in the firewall/ proxy
* Check the account's privileges and change if needed",,AccessQ1,,,,"{'label': 'yes', 'condition': [[{'operator': 'general.isExists', 'left': {'value': {'complex': {'root': 'Account', 'accessor': 'Manager'}}, 'iscontext': True}}]]}"
0,0,9191bc70-1a40-4150-83d9-66731d89243f,start,,,,,,,,
0,1,0397e09e-ea98-47a4-8148-7df722f74fe4,title,QRadar alert,,,,,,,
0,2,6f12a822-db6c-40b7-813d-714a77e77f1f,playbook,QRadar - Get offense correlations,,,,,,,
0,3,552536df-def5-4b43-862d-27dfd4fc368b,playbook,Access Investigation - Generic,,,,,,,
0,4,f5971b5b-220a-4d33-814f-5a1b428cc6b5,title,Investigate access incident,,,,,,,
0,5,12caaa45-7f58-4a12-8c36-319eaa965335,title,Done,,,,,,,
0,7,062be244-4158-4ac7-8f2b-ce9e6693ccca,regular,Set QRadar information into access custom fields,"Set the information retrieved from QRadar into the access incident custom fields:
* Dest
* Src
* Src User",,,,,,
0,0,065b25dc-7aad-4356-8bee-261b189251b3,start,,,,,,,,
0,1,be4d8a4d-14b5-4541-8d40-1df25ef145c6,condition,Is AD configured?,Check if a given value exists in the context. Will return 'no' for empty empty arrays. To be used mostly with DQ and selectors.,,,,,,
0,2,c7455a4b-be90-45c3-83be-a290e2660432,regular,Query AD to get user details,Query “Active Directory” for the email address info,,,,,,
0,3,561f7e3c-e8cf-4f68-8bbe-64c7cb608995,title,User Enrichment Done,,,,,,,
0,4,7e9ec3ab-29e0-458a-8a61-7ca559f4b428,condition,Check if there is an Email address,Check if there is an Email address.,,,,,,
0,0,03bb7183-afc8-4bcd-8f32-5c35d41fdcad,start,,,,,,,,
0,1,8dcf9277-f035-41b2-8165-8ea8d70541a4,condition,Is there a username to query?,Checks if there's a username to query,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,2,97aaf60a-4203-4577-8548-a61287d8b988,title,Active Directory,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,3,b3c42fed-7e9b-428e-8fd6-142c05a2cbd1,title,Done,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,4,64684715-e0fd-44e4-8ba8-973e87eec920,condition,Is Active Directory enabled?,"Checks if there's an active ""Active Directory"" instance",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,5,1f64970f-99a7-477e-83c0-f54dc2e7e4ec,regular,Get Account info from Active Directory,"Query ""Active Directory"" for the username's info",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,7,34d20cba-51b1-4f99-8689-7b1bf0e108f4,condition,Is Active Directory v2 enabled?,"Checks if there's an active ""Active Directory"" instance",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,8,35f69528-ad0b-4672-8864-c4e62cb11c4f,regular,Get Account info from Active Directory,"Retrieves detailed information about a user account. The user can be specified by name, email address, or as an Active Directory Distinguished Name (DN). If no filter is specified, all users are returned.",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,0,03bb7183-afc8-4bcd-8f32-5c35d41fdcad,start,,,,,,,,
0,1,f4d7cbdd-cd4a-48bd-8360-740b97fba2e0,condition,Is there an account to enrich?,Checks if there is at least one username to enrich.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,3,ee0fc2dd-d3aa-4e72-82ac-f12d9bd4a9fa,title,Done,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,4,98e13761-b371-4380-8815-9081204309db,condition,Is Active Directory Query v2 enabled?,Checks if there’s an active instance of the Active Directory Query v2 integration enabled.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'Active Directory Query v2'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]]}}, 'iscontext': True}}]]}"
0,5,97ec5ca3-8754-49ff-8797-627ef7e6cd33,regular,Get account info from Active Directory,Queries Active Directory and returns information for the specified username.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'Active Directory Query v2'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]]}}, 'iscontext': True}}]]}"
0,0,03bb7183-afc8-4bcd-8f32-5c35d41fdcad,start,,,,,,,,
0,1,f4d7cbdd-cd4a-48bd-8360-740b97fba2e0,condition,Is there an account to enrich?,Checks if there is at least one username to enrich.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,3,ee0fc2dd-d3aa-4e72-82ac-f12d9bd4a9fa,title,Done,,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'simple': 'inputs.Username'}, 'iscontext': True}}]]}"
0,4,6d452be6-9cf3-47e7-8424-180ff698cb8b,condition,Is Active Directory enabled?,Checks if there is an active instance of the Active Directory integration enabled.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'activedir'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]]}}, 'iscontext': True}}]]}"
0,5,34511610-25f6-4cba-88be-5efe1ce7a69e,regular,Get account info from Active Directory,Queries Active Directory for the username's information.,,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'activedir'}}}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}}]]}}, 'iscontext': True}}]]}"
0,0,065b25dc-7aad-4356-8bee-261b189251b3,start,,,,,,,,
0,1,be4d8a4d-14b5-4541-8d40-1df25ef145c6,condition,Is AD configured?,Check if a given value exists in the context. Will return 'no' for empty empty arrays. To be used mostly with DQ and selectors.,,,,,,
0,2,c205b05d-8d32-47e8-8f88-a5a2ce0e86fa,regular,Query AD to get user details,,,,,,,
0,3,561f7e3c-e8cf-4f68-8bbe-64c7cb608995,title,User Enrichment Done,,,,,,,
0,0,e25e2919-33a2-4f71-8465-f9099c562d10,start,,,,,,,,
0,3,2874eab4-7137-43d3-8ff4-4be014c9b7b0,condition,Is MineMeld enabled?,"Verify that there is a valid instance of Minemeld enabled.
",,,,,,"{'label': 'yes', 'condition': [[{'operator': 'isExists', 'left': {'value': {'complex': {'root': 'modules', 'filters': [[{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.brand'}, 'iscontext': True}, 'right': {'value': {'simple': 'Palo Alto Minemeld'}}, 'ignorecase': True}], [{'operator': 'isEqualString', 'left': {'value': {'simple': 'modules.state'}, 'iscontext': True}, 'right': {'value': {'simple': 'active'}}, 'ignorecase': True}]], 'accessor': 'brand'}}, 'iscontext': True}, 'ignorecase': True}]]}"
